3.0052,2.2958,0.57302,0.85174,0.49221,-0.49401,-1.3933,-0.88584,-0.36751,-0.11917,-0.46101,-0.19216
2.9763,2.3604,0.41179,0.12008,-0.16477,-0.57474,-1.1994,-0.043724,0.13873,0.33957,-0.18016,-0.69011
3.0073,2.7948,0.93165,0.25878,0.049344,-0.64214,-1.575,-0.78552,0.036304,0.13318,-0.42942,-0.82263
3.6226,2.7771,0.6531,0.22799,0.29987,-0.74759,-1.2106,-0.55415,0.29108,-0.18512,-0.2614,-0.80104
3.3351,2.264,0.29608,0.33601,-0.019866,-0.59274,-1.1418,-0.18022,-0.18442,-0.25299,-0.34464,-0.90418
3.7932,2.7238,0.76966,1.0579,0.11425,-0.87093,-0.84227,-0.25809,-0.05235,0.59887,-0.17225,-1.4506
4.7095,2.8483,1.7498,1.5782,0.13821,-0.22599,-0.1141,-0.43245,-0.50996,-0.50003,-0.11909,-0.42581
5.7116,3.0462,1.1926,0.96252,0.45709,-0.50752,-1.0299,-0.39703,-0.38062,0.060341,-0.25591,-1.1425
5.579,2.356,1.2146,1.5513,0.034935,-1.3434,-1.4414,-0.90342,-0.75233,-0.63654,-0.51585,-1.2106
5.3245,1.4514,1.5235,1.4126,-0.42072,-1.2007,-1.0453,-0.76971,-0.60978,-1.0455,-0.38134,-0.90273
5.3203,1.9145,1.4587,1.5167,-0.76958,-0.87474,-0.99639,-1.1346,-0.95699,-1.2117,-0.43951,-1.7224
5.4626,2.3048,2.005,1.2336,-1.0044,-1.6151,-1.3443,-1.0149,-1.0248,-0.98072,-0.71485,-1.3771
5.872,2.6043,2.2086,1.4896,-0.5388,-1.5236,-1.2219,-0.43408,-1.3793,-1.6078,-0.42825,-0.19018
5.6749,2.3207,1.6604,1.396,-0.59326,-1.2087,-1.1809,-0.96026,-1.2845,-1.5545,-0.77643,-0.42396
7.1777,2.1972,1.5676,1.8841,-0.4481,-1.2957,-1.3599,-0.74209,-0.86717,-1.8056,-0.04653,-1.1335
6.3146,2.2252,1.9153,1.819,-0.22796,-1.0987,-0.87056,-0.16572,-0.94432,-1.5551,-0.59589,-0.18511
5.026,1.756,1.693,1.0776,-0.41789,-1.1074,-1.1528,-0.41211,-0.85965,-1.0366,-0.32791,-0.26326
5.919,1.8422,1.8374,1.884,0.0065635,-1.2933,-1.1874,-0.90861,-1.347,-1.5359,0.0049247,-0.22622
5.7961,2.0257,1.7093,1.9925,-0.06221,-1.3185,-1.4389,-0.45518,-1.1021,-1.3464,-0.53803,-0.34549
6.0021,1.4771,2.3864,2.4781,-0.097893,-0.92649,-1.4925,-0.33174,-1.0212,-1.9633,-0.26552,-0.22619
4.5513,1.4079,1.614,2.2645,-0.25766,-1.2082,-0.92553,-0.82421,-1.0943,-1.2794,-0.24298,0.25347
4.5315,1.3748,1.6634,2.457,0.0062708,-1.3365,-0.54906,-0.83102,-1.3665,-1.4851,-0.30383,0.60157
4.6211,2.0264,2.5331,2.3998,-0.24365,-1.6246,-0.82668,-0.19524,-0.80704,-2.2005,-0.75315,-0.11517
4.3267,2.1166,2.9276,2.5484,0.36033,-1.4008,-1.0218,-1.0403,-1.5963,-1.9317,0.29734,0.38586
4.1592,1.1946,2.7939,2.451,-0.45259,-1.8715,-0.88546,0.02936,-0.6787,-1.6192,-0.043099,-0.097981
3.6943,0.31357,2.1529,1.3799,-0.81793,-1.6675,-0.49498,-0.60148,-0.99401,-1.5175,0.054934,-0.62349
3.4439,0.94261,2.6047,1.2107,-1.6305,-1.5389,0.11695,-0.34744,-1.1793,-1.3646,0.25842,-0.82615
3.5451,0.59283,2.9263,1.2777,-1.1262,-0.94395,-0.57185,-0.65319,-1.3519,-0.6532,0.72302,-0.9834
3.6912,0.55795,3.9578,1.1265,-2.11,-0.77774,-0.52906,-0.0059411,-0.96176,-0.70609,0.32129,-1.0992
2.7026,-0.088153,4.4583,0.30662,-1.6173,-0.013006,-1.0193,-0.6793,-0.7132,-0.94527,-0.044735,-1.0916
2.2619,0.32164,4.5589,0.46984,-0.96613,-0.31528,-1.0194,-0.61816,-0.61034,-1.5291,-0.27522,-0.81512
2.3022,0.6079,4.0468,-0.52819,-0.7608,0.26556,-1.5487,-1.0494,-0.95602,-0.9091,-0.40051,-1.1111
2.4381,1.8689,4.6768,-0.47435,-1.2571,-0.33439,-1.3507,-0.2372,-0.66704,-1.764,-0.42859,-1.4431
